0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
33,39,42,44,57,72,89,91,114,124,152,176,180,196,205,234,236,238,261,284,287,330,333,344,349,391,431,436,440,447,448,460,,,,,,,,,,,,,,,,
2,27,28,32,65,69,83,93,111,116,117,122,132,134,150,154,170,173,182,187,198,212,223,226,242,256,259,263,266,274,285,296,309,317,322,323,326,339,351,357,364,367,375,379,389,428,435,449
1,4,24,37,70,76,95,129,141,142,156,165,174,183,186,202,211,217,240,254,257,273,275,277,291,310,335,347,355,363,370,380,382,401,403,405,413,414,426,429,433,,,,,,,
41,48,67,88,94,104,120,123,127,155,164,184,195,203,222,231,239,265,282,289,354,365,366,371,383,390,396,412,418,430,,,,,,,,,,,,,,,,,,
12,20,99,108,118,119,137,160,162,163,171,178,233,267,294,298,319,342,362,402,411,427,439,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,29,35,45,53,59,75,79,80,106,110,121,147,149,153,189,191,206,208,218,264,286,340,348,360,374,381,410,416,423,425,432,437,,,,,,,,,,,,,,
46,56,66,96,128,144,145,151,166,169,200,251,292,337,406,422,445,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43,47,84,139,159,175,228,258,270,280,288,332,346,361,378,392,394,397,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,17,52,126,133,168,204,221,244,255,283,297,305,312,325,400,404,415,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,98,112,214,269,320,393,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,54,125,130,138,140,172,245,248,306,311,318,328,336,341,377,386,398,407,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,10,14,21,30,38,51,58,143,179,185,232,241,243,276,327,345,372,434,444,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,64,90,100,131,148,157,197,210,219,249,278,301,315,321,329,331,353,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,13,22,40,61,71,73,85,97,109,113,115,136,146,158,181,190,194,199,201,216,227,229,230,246,250,279,295,300,303,313,316,334,338,356,358,373,408,409,420,451,,,,,,
63,77,82,92,103,177,193,247,260,271,293,352,359,376,388,424,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,31,60,81,86,161,188,207,209,220,225,235,237,268,272,290,299,307,314,343,369,385,387,395,399,452,459,,,,,,,,,,,,,,,,,,,,,
18,19,55,74,78,87,101,107,167,192,213,215,224,281,302,304,308,324,417,453,454,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,49,50,68,102,105,135,252,253,262,350,368,384,419,438,457,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
